ČeskoMoravská Kynologická Unie

# Č esko m oravská k ynologická u nie

## Novinky a upozornění

| 14.8. | Výběrové řízení – nový infor... |
| --- | --- |
| 10.8. | Interdog Bohemia-POZOR ZMĚNA |
| 9.8. | Centrální evidence psů- chov... |
| 3.8. | Byl přidán zápis řádného zas... |
| 9.7. | Vzteklina v Evropě zabíjí. |
| 29.6. | Smutná zpráva |

# Seznam plemen

Na této stránce naleznete seznam všech plemen - standardů. Časem bude u každého plemene doplněn popis a fotografie. Kliknutím na detail plemene se dozvíte které kluby plemeno spravují a které pracoviště plemenné knihy provádí zápisy.

| Číslo FCI | Název | Originální název |
| 209 | Tibetský terier | Tibetan Terrier |
| 260 | Tosa-Inu | Tosa |
| 927 | Toy foxteriér | Toy Fox Terrier |
| 185 | Trpasličí pinč | Zwergpinscher |
| 068 | Tyrolský honič | Tyroler Bracke |
| 353 | Uruguajský cimarron | Cimarrón Uruguayo |
| 370 | Valencian teriér | Gos Rater Valencia |
| 324 | Vel.franc.-anglický bílo-oranžový honič | Grand Anglo-Francais Blanc et Orange |
| 322 | Vel.francouzsko-anglický trikolor.honič | Grand Anglo-Francais Tricolore |
| 323 | Velký franc.-anglický bílo-černý honič | Grand Anglo-Francais Blanc et Noir |
| 033 | Velký hrubosrstý vendéeský basset | Grand Basset Griffon Vendéen |
| 022 | Velký modrý gaskoňský honič | Grand Bleu de Gascogne |
| 118 | Velký münsterlandský ohař | Grosser Münsterländer Vorstehhund |
| 058 | Velký švýcarský salašnický pes | Grosser Schweizer Sennenhund |
| 282 | Velký vendéeský hrubosrstý honič | Grand Griffon Vendéen |
| 930 | Východoevropský ovčák | Vostochoeuropeyskaya ovtcharka |
| 305 | Východosibiřská lajka | Laika Vostotchno-Sibirskaia |
| 099 | Výmarský ohař | Weimaraner |
| 038 | Welsh Corgi Cardigan | Welsh Corgi Cardigan |
| 039 | Welsh Corgi Pembroke | Welsh Corgi Pembroke |
| 078 | Welsh terier | Welsh Terrier |
| 126 | Welššpringršpaněl | Welsh Springer Spaniel |
| 085 | West Highland White Terrier | West Highland White Terrier |
| 100 | Westfálský jezevčíkovitý honič | Westfälische Dachsbracke |
| 221 | Wetterhound | Wetterhound |
| 162 | Whippet | Whippet |
| 086 | Yorkšírský terier | Yorkshire Terrier |
| 306 | Západosibiřská lajka | Laika Zapadno-Sibirskaia |
| 111 | Zlatý retriever | Golden Retriever |

## Partneři
